property_type,prices,prop_description,locations,beds_num,baths_num,area
Duplex,"14,400,000 EGP",Duplex for Sale – West Hills,"West Hills Residence, Ring Road, 6 October City, Giza",4,4, 271 sqm
Apartment,"13,000,000 EGP",finished apartment with airconditioning instalment,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2,2, 135 sqm
Chalet,"1,210,000 EGP",Chalet for sale installments Villar North Coast   ,"Villar, New Alamein City, Al Alamein, North Coast",2,2, 110 sqm
Apartment,"12,750,000 EGP",Ground Apartment in katamya plaza fully finished,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",2,2, 157 sqm
Twin House,"39,000,000 EGP",Twin House Fully furnished With ACs for sale,"Marassi, Sidi Abdel Rahman, North Coast",3,3, 325 sqm
Apartment,"3,900,000 EGP",Distinctive apartment with swimming pool view,"Degla View, Zahraa El Maadi, Hay El Maadi, Cairo",3,3, 195 sqm
Apartment,"16,000,000 EGP",Prime apartment in a great Mivida location,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 200 sqm
Villa,"19,000,000 EGP",Corner villa of Sheikh Zayed with La vista,"El Patio Vera, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4, 200 sqm
Apartment,"24,000,000 EGP",Finished apart with aircondition near Mall of Arab,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2, 165 sqm
Villa,"14,000,000 EGP",توين هاوس للبيع بكمبوند بيراميدزووك جانب بالم هيلز,"Pyramids Walk, South Dahshur Link, 6 October City, Giza",4,4, 320 sqm
Twin House,"15,000,000 EGP",Twin house with garden near Juhayna Square instal,"Nyoum October, Northern Expansions, 6 October City, Giza",3,3, 190 sqm
Apartment,"5,235,000 EGP",شقة 188م² أرضي بحديقة 69 م² – كمبوند جِـيـرَان,"Jiran Residence, Hadayek October, 6 October City, Giza",4,3, 188 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed-188M","The Address, 12th District, Sheikh Zayed City, Giza",3,3, 20 sqm
Apartment,"5,712,000 EGP",Apartment for sale semi finished in bloomfields,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 157 sqm
Land,"5,000,000 EGP",قطعة 448م ناصية صريحة.صف اول علي طريق المترو مباشر,"El Motamayez District North, Badr City, Cairo",3,4, 448 sqm
Villa,"30,000,000 EGP",Standalone Villa for Sale – Alex West - 650 m,"Alex West, Alexandria Compounds, Alexandria",4,4, 650 sqm
iVilla,"13,100,000 EGP","FOR SALE IVILLA READY TO MOVE , PRIME LOCATION","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2, 300 sqm
Apartment,"6,900,000 EGP",Ground Floor Apartment with Garden – Fully Furnish,"Privado, Madinaty, Cairo",2,1, 108 sqm
Apartment,"3,150,000 EGP",ببيع شقتي بنص السعر كاملة المرافق بفيو لاندسكيب,"Masaken Sheraton, Sheraton Al Matar, El Nozha, Cairo",5,7, 102 sqm
Villa,"45,000,000 EGP",Villa with garden and private pool Hyde park,"Hyde Park, New Cairo City, Cairo",2,1, 400 sqm
Chalet,"9,000,000 EGP",Best Investment Opportunity At North Coast  !,"Ogami, Ras Al Hekma, North Coast",1,2, 65 sqm
Apartment,"6,700,000 EGP",Modern Studio for Sale in Hyde Park New Cairo,"Hyde Park, New Cairo City, Cairo",1,1, 75 sqm
Apartment,"15,890,001 EGP","Apartment in Sky Condos, Fory View Garden, for sal","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 162 sqm
Palace,"150,000,000 EGP",Mansion for Sale in New Giza The Groove,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",6, 7+," 1,000 sqm"
Apartment,"4,400,000 EGP",اجمل ارضى بحديقة بالتكيفات والمطبخ تشطيب سوبر لوكس,"Madinaty, Cairo",2,1, 60 sqm
Apartment,"9,000,000 EGP",Super Lux • North-Facing • Open View • 200 sqm •,"Ganoob El Acadimia, New Cairo City, Cairo",3,2, 200 sqm
Apartment,"3,500,000 EGP",3-Bed Apartment – View &amp; Move In Now,"Mountain View Chill Out Park, Northern Expansions, 6 October City, Giza",3,3, 165 sqm
Apartment,"6,000,000 EGP",12y installments +disc 15% apt fully finish Dp600k,"Ray Residence, New Capital Compounds, New Capital City, Cairo",2,2, 80 sqm
Apartment,"9,000,000 EGP",Landscape View Apartment for Sale in Palm Hills,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 183 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Green Residence 1, 7th District, Sheikh Zayed City, Giza",3,3, 188 sqm
Apartment,"7,000,000 EGP",Apart at lowest price on the market near Mall Arab,"Nyoum October, Northern Expansions, 6 October City, Giza",3,2, 130 sqm
Duplex,Ask for price,"Hot deal duplex for sale with lagoon view, north-f","Azha North, Ras Al Hekma, North Coast",4,4, 289 sqm
Apartment,"8,500,000 EGP",Apartment resale ready to move in Taj City Shalya,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 182 sqm
Apartment,"8,089,000 EGP","180m roof, great view, 3 min to AUC","Sephora Heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 177 sqm
Apartment,"15,000,000 EGP","Ready duplex, great price, New Cairo","Sephora Heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 250 sqm
Villa,"20,000,000 EGP","Stand-Alone Corner Villa – 400 m² BUA, IVY Phase 2","Ivy, Cairo Alexandria Desert Road, Giza",4,4, 650 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Green Residence 2, 8th District, Sheikh Zayed City, Giza",3,3, 188 sqm
Apartment,"6,000,000 EGP",Apart for sale near delivery with a 30% cash DISS,"Nyoum October, Northern Expansions, 6 October City, Giza",2,2, 120 sqm
Apartment,"19,666,434 EGP",Apartment Ready To Move In Mountain View iCity,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,1, 262 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Karma Residence, 16th District, Sheikh Zayed City, Giza",3,3, 188 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 188 sqm
Villa,"48,576,888 EGP",Fully finished Villa for sale with installments,"Elan, Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,4, 250 sqm
Apartment,"2,500,000 EGP",Studio Apartment for Sale in Sarai Compound – C,"Elan Sarai, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo", studio,1, 70 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Genova, Riviera City, Sheikh Zayed City, Giza",3,3, 188 sqm
Apartment,"7,500,000 EGP","Apartment for sale in Smouha,","Mohamed Fawzy Moaz St., Smouha, Hay Sharq, Alexandria",3,3, 225 sqm
Twin House,"15,000,000 EGP",Twin house with garden near Juhayna Square insta,"Nyoum October, Northern Expansions, 6 October City, Giza",4,4, 261 sqm
Chalet,"6,500,000 EGP",3rd Floor Chalet for Sale at IlMonte Galala Sokhna,"IL Monte Galala, Al Ain Al Sokhna, Suez",3,2, 122 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Al Bostan St., 9th District, Sheikh Zayed City, Giza",3,3, 188 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","Zayed Regency, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 188 sqm
Apartment,"5,235,000 EGP",شقة 188م² أرضي بحديقة 69 م² – كمبوند جِـيـرَان,"BETA Residence, Hadayek October, 6 October City, Giza",4,3, 188 sqm
Apartment,"15,600,000 EGP",Fully finished Apartment For Sale prime location,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza",2,2, 120 sqm
Apartment,"5,730,000 EGP","Buy now, pay 120 months near Al Ahly Zayed","1st District, Sheikh Zayed City, Giza",3,3, 188 sqm
Chalet,"6,750,000 EGP",First Row on the Lagoon – Sea View Ready to move,"Latin District, New Alamein City, Al Alamein, North Coast",1,1, 105 sqm
Villa,"20,000,000 EGP",Lowest Price Standalone Villa Resale Prime View,"The Crown, Cairo Alexandria Desert Road, 6 October City, Giza",3,3, 230 sqm
Villa,"40,000,000 EGP",Fully Finished Villa ready to move for sale ,"Eden, Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 210 sqm
Apartment,"7,100,000 EGP","Empty apartment for sale in Al Rehab, Block 26","Abou Hanifa Al Noaman St., Rehab City First Phase, Al Rehab, New Cairo City, Cairo",3,2, 155 sqm
Apartment,"13,850,000 EGP",Lowest Price Apartment 250m-Very Prime Location,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 250 sqm
Villa,"73,000,000 EGP","Palace for sale, immediate delivery in Palm Hills","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,7," 1,150 sqm"
Chalet,"13,000,000 EGP",Ground Chalet In Marassi Fully Finished Delivered,"Marassi, Sidi Abdel Rahman, North Coast",1,1, 80 sqm
Apartment,"5,000,000 EGP",3BEDROOMS Fully Finished in Maqsed RTM+Over 10 Y,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,3, 158 sqm
Townhouse,"35,000,000 EGP",Luxury Townhouse for Sale – Uptown eleva,"Eleva, Uptown Cairo, Mokattam, Cairo",4,4, 279 sqm
Apartment,"7,700,000 EGP",Very Prime Location Apartment in Sodic East,"Sodic East, 6th District, New Heliopolis, Cairo",3,3, 165 sqm
Apartment,"8,800,000 EGP",(34% Discount) Immediate Delivery - Last Chance on,"Masaken Sheraton, Sheraton Al Matar, El Nozha, Cairo",2,2, 138 sqm
Townhouse,"15,945,220 EGP",Townhouse for Sale in Spring Valley O West,"O West, 6 October Compounds, 6 October City, Giza",4,3, 173 sqm
Villa,"35,000,000 EGP",Type D Villa Prime Location For Sale In PHNC,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,7, 548 sqm
Apartment,"4,620,000 EGP",Apartment in Beit Al Watan with installment,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3, 220 sqm
Villa,"35,000,000 EGP",Luxurious Villa with prime location ready to move,"Elan, Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 210 sqm
Apartment,"4,000,000 EGP",استلم و عاين فورا شقه 3 غرف استلام فورى بسعر لقطه,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3, 165 sqm
Chalet,"10,000,000 EGP",Serviced Chalet With Lowest Price At Silver Sands,"Ogami, Ras Al Hekma, North Coast",1,1, 55 sqm
Chalet,"1,450,000 EGP",Studio for Sale – Porto Sokhna – Island 1,"Grand View, Porto Sokhna, Al Ain Al Sokhna, Suez",1,2, 56 sqm
Apartment,"6,900,000 EGP","Immediate Handover – Privado, Madinaty – Installme","Privado, Madinaty, Cairo",2,2, 100 sqm
Apartment,"3,710,700 EGP",شقه95م و54م جاردن علي الواحات بخصم10%وقسط ع 10سنين,"West Somid Road, West Somid, 6 October City, Giza",2,1, 95 sqm
Apartment,"5,235,000 EGP",شقة 188م² أرضي بحديقة 69 م² – كمبوند جِـيـرَان,"Kenz, Hadayek October, 6 October City, Giza",4,3, 188 sqm
Villa,"3,200,000 EGP",villa in prim location water view 282 meters,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",4,4, 28 sqm
Villa,"115,000,000 EGP",Standalone Villa in Cairo Festival greenery view,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",5,5, 650 sqm
Apartment,"15,000,000 EGP",Ground Apartment with Private Garden Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Chalet,"16,000,000 EGP",Senior Chale for sale in Azha sokhna Direct Lagoon,"Azha, Al Ain Al Sokhna, Suez",4,5, 274 sqm
Villa,"43,447,180 EGP",Fully finished Villa For Sale below market price,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza",4,5, 309 sqm
Apartment,"10,312,500 EGP",Below market price - The Crest,"The Crest, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 125 sqm
Twin House,"14,500,000 EGP",Villa in La vista Under market price finished,"La vista Ras El Hikma, Ras Al Hekma, North Coast",3,3, 140 sqm
Townhouse,"7,875,000 EGP",Under Market Price Townhouse Resale Ready To Move,"O West, 6 October Compounds, 6 October City, Giza",3,4, 213 sqm
Townhouse,"12,490,315 EGP",Townhouse for Sale in O West Hillside,"O West, 6 October Compounds, 6 October City, Giza",3,4, 173 sqm
Villa,"83,481,209 EGP",Luxurious Standalone for sale below market price ,"Soul North Coast, Qesm Ad Dabaah, North Coast",3,4, 339 sqm
Chalet,"9,545,000 EGP",Chalet For Sale in hacienda west greenery view,"Hacienda West, Ras Al Hekma, North Coast",3,4, 153 sqm
Apartment,"7,200,000 EGP",12y installments +disc 15% apt with garden Dp700k,"Ray Residence, New Capital Compounds, New Capital City, Cairo",3,3, 195 sqm
Apartment,"4,220,000 EGP",Apartment At Lowest Price in Armonia Over 10 Years,"Armonia, New Capital Compounds, New Capital City, Cairo",1,1, 76 sqm
Penthouse,"14,000,000 EGP",Penthouse North Oriented Pool view furnished,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",4,3, 180 sqm
Apartment,"5,235,000 EGP",شقة 188م² أرضي بحديقة 69 م² – كمبوند جِـيـرَان,"Isola, Hadayek October, 6 October City, Giza",4,3, 188 sqm
Twin House,"27,000,000 EGP",Twin House For Sale 288m Fully finished Prime View,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 276 sqm
Apartment,"12,000,000 EGP",Under Market Price Apartment 184m Villette Sodic,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 184 sqm
Chalet,"8,000,000 EGP",ready to move furnished chalet first row at soma ,"Soma Breeze, Soma Bay, Safaga, Hurghada, Red Sea",1,1, 72 sqm
Chalet,"5,000,000 EGP",Sea View chalet with Garden at MV Ras El Hekma,"Mountain View, Ras Al Hekma, North Coast",2,2, 85 sqm
Townhouse,"7,000,000 EGP",Lowest price for townhouse @Badya Prime Location,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",4,4, 184 sqm
Townhouse,"35,000,000 EGP",Town House @Ogami  sea view direct On lagoon ,"Ogami, Ras Al Hekma, North Coast",3,3, 223 sqm
Apartment,"1,300,000 EGP",140m² Dual-View Apartment | Street &amp; Garden Vie,"El Motamayez District, Badr City, Cairo",3,2, 140 sqm
Townhouse,"36,500,000 EGP",Villa resale in arizzo Marassi Under Market Price,"Marassi, Sidi Abdel Rahman, North Coast",4,4, 360 sqm
Chalet,"7,000,000 EGP",ready to move Fully Finished chalet 2 bed at  ,"Palm Hills New Alamein, New Alamein City, Al Alamein, North Coast",2,2, 107 sqm
Chalet,"12,000,000 EGP",Ready to Move Monos Apartment at swan lake west,"Swan Lake West, 6 October Compounds, 6 October City, Giza",3,3, 199 sqm
Villa,"3,200,000 EGP",villa in prim location water view 282 meters,"Palm Hills October, Cairo Alexandria Desert Road, 6 October City, Giza",4,4, 28 sqm
Chalet,"3,000,000 EGP",early delivery chalet 3 bed sea view at salt ,"Salt, Ras Al Hekma, North Coast",3,2, 110 sqm
Penthouse,"8,000,000 EGP",Ready to Move Sky Loft at i city october ,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",4,4, 235 sqm
Chalet,"3,000,000 EGP",Lowest price for a 1 bed chalet at hacienda west,"Hacienda West, Ras Al Hekma, North Coast",1,1, 65 sqm
Chalet,"9,000,000 EGP",own your sea view chalet at silver sands over 10 y,"Silver Sands, Qesm Marsa Matrouh, North Coast",2,2, 105 sqm
Villa,"4,000,000 EGP",own unique villa 461m in one of the best locations,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 25 sqm
Apartment,"10,400,000 EGP",Fully finished Apartment for Sale in Hyde park,"Hyde Park, New Cairo City, Cairo",2,2, 133 sqm
Apartment,"4,104,000 EGP",شقتك بمقدم اقل من 500الف وبخصم10% علي طريق الواحات,"West Somid Road, West Somid, 6 October City, Giza",3,2, 120 sqm
Apartment,"3,800,000 EGP",Resale apartment 135m super deluxe,"Bavaria Town, Zahraa El Maadi, Hay El Maadi, Cairo",3,2, 135 sqm
Twin House,"12,000,000 EGP",RESALE FIRST ROW LAGOON TWIN HOUSE - BAHRY + 3BRS,"Mountain View, Ras Al Hekma, North Coast",3,4, 155 sqm
Apartment,"6,720,000 EGP",اتعاقد بدون مقدم وامتلك شقتك نص تشطيب فيو لاندسكيب,"Rock Yard, Sheraton Al Matar, El Nozha, Cairo",2,2, 128 sqm
Chalet,"9,750,000 EGP","Hot deal chalet for sale, north-facing with lagoon","Al Masyaf, Ras Al Hekma, North Coast",2,2, 110 sqm
Villa,"21,700,000 EGP",Ultra luxurious finishing Open view of lanscape,"Ivory Muruj, Smouha, Hay Sharq, Alexandria",6,5, 279 sqm
Duplex,"20,000,000 EGP","Duplex for sale in South Academy ,Fifth Settlement","Al Shaimaa St., Area F, Ganoob El Acadimia, New Cairo City, Cairo",4,4, 370 sqm
Apartment,"3,550,000 EGP",Lowest Down Payment Studio 60m Resale Badya,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza", studio,1, 60 sqm
Apartment,"15,890,000 EGP","Apartment in Sky Condos, Fory View Garden, for sal","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 162 sqm
Duplex,"11,850,000 EGP",Finished Duplex in Monte napoleone Greenery View,"MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 200 sqm
Apartment,"9,000,000 EGP","Apartment for sale, 305 m, Loran (Abu Qir Street)","Shaarawy St., Laurent, Hay Sharq, Alexandria",3,3, 305 sqm
Whole Building,"3,800,000 EGP",A fully built house for sale in the neighborhood,"Neighborhood 1, Neighborhood 33, 10th of Ramadan City, Sharqia",3,2, 276 sqm
Apartment,"4,800,000 EGP",استوديو للبيع فى ابراج زيد فيو بارك بسعر قديم,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",1,1, 57 sqm
iVilla,"16,000,000 EGP","IVilla with Roof Lake Vew,Fully Furnished","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 235 sqm
Chalet,"2,100,000 EGP",Chalet for Sale – Porto Sokhna – Panorama,"Panorama, Porto Sokhna, Al Ain Al Sokhna, Suez",2,2, 110 sqm
Apartment,"3,800,000 EGP",Resale apartment 135m super deluxe,"Bavaria Town, Zahraa El Maadi, Hay El Maadi, Cairo",3,2, 135 sqm
Twin House,"12,000,000 EGP",RESALE FIRST ROW LAGOON TWIN HOUSE - BAHRY + 3BRS,"Mountain View, Ras Al Hekma, North Coast",3,4, 155 sqm
Apartment,"6,720,000 EGP",اتعاقد بدون مقدم وامتلك شقتك نص تشطيب فيو لاندسكيب,"Rock Yard, Sheraton Al Matar, El Nozha, Cairo",2,2, 128 sqm
Chalet,"9,750,000 EGP","Hot deal chalet for sale, north-facing with lagoon","Al Masyaf, Ras Al Hekma, North Coast",2,2, 110 sqm
Villa,"21,700,000 EGP",Ultra luxurious finishing Open view of lanscape,"Ivory Muruj, Smouha, Hay Sharq, Alexandria",6,5, 279 sqm
Duplex,"20,000,000 EGP","Duplex for sale in South Academy ,Fifth Settlement","Al Shaimaa St., Area F, Ganoob El Acadimia, New Cairo City, Cairo",4,4, 370 sqm
Apartment,"3,550,000 EGP",Lowest Down Payment Studio 60m Resale Badya,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza", studio,1, 60 sqm
Apartment,"15,890,000 EGP","Apartment in Sky Condos, Fory View Garden, for sal","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 162 sqm
Duplex,"11,850,000 EGP",Finished Duplex in Monte napoleone Greenery View,"MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 200 sqm
Apartment,"9,000,000 EGP","Apartment for sale, 305 m, Loran (Abu Qir Street)","Shaarawy St., Laurent, Hay Sharq, Alexandria",3,3, 305 sqm
Whole Building,"3,800,000 EGP",A fully built house for sale in the neighborhood,"Neighborhood 1, Neighborhood 33, 10th of Ramadan City, Sharqia",3,2, 276 sqm
Apartment,"4,800,000 EGP",استوديو للبيع فى ابراج زيد فيو بارك بسعر قديم,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",1,1, 57 sqm
iVilla,"16,000,000 EGP","IVilla with Roof Lake Vew,Fully Furnished","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 235 sqm
Chalet,"2,100,000 EGP",Chalet for Sale – Porto Sokhna – Panorama,"Panorama, Porto Sokhna, Al Ain Al Sokhna, Suez",2,2, 110 sqm
Apartment,"10,500,000 EGP",Apartment resale Prime Location Ready to Move,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 142 sqm
Apartment,"21,000,000 EGP",standalone villa next to AUC with The Mark at dic,"The MarQ Gardens, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 265 sqm
Townhouse,"26,500,000 EGP",Fully Finished Town House for sale Ready to move,"Marassi, Sidi Abdel Rahman, North Coast",3,3, 175 sqm
Villa,"48,500,000 EGP",Standalone villa for sale in Al Rabwa Compound,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4, 380 sqm
Villa,"32,000,000 EGP",Luxury villa 300m - Super lux - Stone Park,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5, 300 sqm
Apartment,"4,999,999 EGP",ببيع شقتي بنص السعر استلام فوري كاملة التشطيب,"Rock Eden, Hadayek October, 6 October City, Giza",3,3, 160 sqm
Duplex,"33,000,000 EGP",Duplex for Sale in New Giza Westridge,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",3,3, 355 sqm
Apartment,"6,000,000 EGP",Apartment for sale in cash in Madinaty B11,"Privado, Madinaty, Cairo",3,2, 108 sqm
Villa,"40,000,000 EGP",للبيع في كمبوند  علي طريق الواحات بجانب مول مصر,"Al Nasayem Village, 6 October Compounds, 6 October City, Giza",4,4, 450 sqm
Apartment,"2,700,000 EGP",شقه استلام فوري ف الاندلس التجمع الخامس,"Al Andalus Buildings, Al Andalus District, New Cairo City, Cairo",3,2, 145 sqm
Townhouse,"21,500,000 EGP",Town house for sale in Mountain view hyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 273 sqm
Townhouse,"19,800,000 EGP","Townhouse for sale in Palm Hills, immediate delive","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 281 sqm
Townhouse,"26,000,000 EGP",Townhouse for sale in Mivida Compound,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 160 sqm
Duplex,"6,600,000 EGP","Duplex 4BR  RTM+Finished in Jadie Park 1,2%Dp","Jade Park, New Capital Compounds, New Capital City, Cairo",4,4, 232 sqm
Apartment,"7,400,000 EGP","Apartment for sale, 149In Zayed Dunes","Zayed Dunes, 6th District, Sheikh Zayed City, Giza",3,2, 149 sqm
Apartment,"23,000,000 EGP",Resale Ground Apartment Fully Furnished Pool View,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 195 sqm
Apartment,"8,534,000 EGP",Apt Under Market Price In A Very Prime Location,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 200 sqm
Villa,"51,250,000 EGP",Standalone in Hacienda Bay With Pool and Cabin,"Hacienda Bay, Sidi Abdel Rahman, North Coast",5,7, 460 sqm
Duplex,"8,000,000 EGP",Under market price upper duplex with 6 ACS,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,4, 276 sqm
Villa,"11,588,112 EGP",villa for sale in Telal east new cairo del : 2027,"Telal East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 233 sqm
iVilla,"20,000,000 EGP",Villa for sale in mountainview hydepark - i villa,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 287 sqm
iVilla,"11,000,000 EGP",I Villa Graden For Sale In Mountain View i City,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 230 sqm
iVilla,"10,000,000 EGP",I Villa Roof For Sale In Mountain View I City,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 230 sqm
iVilla,"17,000,000 EGP",I villla for sale in Mountain view hyde park -cash,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 305 sqm
Apartment,"6,000,000 EGP",Apartment for Sale in Mountain View I City RTM,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 165 sqm
Whole Building,"24,000,000 EGP",فيلا مستقله للبيع ف كمبوند الياسمين الشيخ زايد,"Yasmine compound, 6 October Compounds, 6 October City, Giza",3,3, 505 sqm
Townhouse,"4,500,000 EGP",Last Villa ReadyTo Move Finished 0%downpayme+insta,"Mountain View 4, 6 October Compounds, 6 October City, Giza",4,4, 50 sqm
Apartment,"30,000,000 EGP",Apartment with garden-Private pool sale lake view,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 220 sqm
Villa,"3,200,000 EGP",villa in prim location water view 282 meters,"Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza",4,4, 28 sqm
Apartment,"15,000,000 EGP",Apartment in Eastown for sale -very prime location,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,4, 156 sqm
iVilla,"9,000,000 EGP",I Villa for Sale in Mountain View I City View lake,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 225 sqm
Penthouse,"14,605,000 EGP",Penthouse For Sale in hacienda west Full sea view,"Hacienda West, Ras Al Hekma, North Coast",3,3, 112 sqm
Chalet,"13,191,000 EGP",Chalet For Sale In Hacienda Waters With Lowest DP,"Hacienda Waters, Qesm Ad Dabaah, North Coast",2,3, 105 sqm
iVilla,"12,000,000 EGP",I Villa for Sale in Mountain View I City Lowest Dp,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 240 sqm
Apartment,"8,700,000 EGP",3Bed 140 m² Apartment for sale Zayed Ready to Move,"Westview Residence, New Zayed City, Sheikh Zayed City, Giza",3,3, 140 sqm
Penthouse,"13,700,000 EGP",pent house for sale in mountain view hyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 169 sqm
Apartment,"6,600,000 EGP",Lowest Price-Best View on Landscape -Ready to Move,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Villa,"50,000,000 EGP",Fully finished Standalone for sale in Cairo Gate,"Elan, Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,4, 351 sqm
